id,name,pl_a,ql_a,pl_b,ql_b,pl_c,ql_c,q_cap_a,q_cap_b,q_cap_c,pg_a,pg_b,pg_c,qg_a,qg_b,qg_c,bus_type,v_a,v_b,v_c,v_ln_base,s_base,v_min,v_max,cvr_p,cvr_q,sg_a_max,sg_b_max,sg_c_max,phases,has_gen,has_load,has_cap
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,SWING,1.05,1.05,1.05,2401.7771198288438,1000000.0,0.95,1.05,0,0,0.0,0.0,0.0,abc,False,False,False
2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,0.0,0.0,0.0,abc,False,False,False
3,3,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0,0,0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,0.012,0.012,0.012,abc,True,True,False
4,4,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,0.0,0.0,0.0,b,False,True,False
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,0.0,0.0,0.0,c,False,False,False
6,6,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,0.0,0.0,0.0,c,False,True,False
7,7,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,0.0,0.0,0.0,c,False,True,False
8,8,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,0.0,0.0,0.0,c,False,True,False
9,9,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0,0,0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,0.012,0.012,0.012,abc,True,True,False
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,PQ,1.0,1.0,1.0,2401.7771198288438,1000000.0,0.95,1.05,0,0,0.0,0.0,0.0,abc,False,False,False
